31.12.2011 22:00;1,4;Ветер, дующий с юго-востока;
31.12.2011 19:00;2,3;Ветер, дующий с юго-востока;
31.12.2011 16:00;3,8;Ветер, дующий с юго-юго-востока;
31.12.2011 13:00;4,3;Ветер, дующий с северо-запада;
31.12.2011 10:00;2,8;Ветер, дующий с западо-северо-запада;
31.12.2011 7:00;2,5;Ветер, дующий с запада;
31.12.2011 4:00;3,6;Ветер, дующий с западо-северо-запада;
31.12.2011 1:00;3,8;Ветер, дующий с западо-северо-запада;
30.12.2011 22:00;4,1;Ветер, дующий с западо-северо-запада;
30.12.2011 19:00;4,1;Ветер, дующий с запада;
30.12.2011 16:00;4,4;Ветер, дующий с запада;
30.12.2011 13:00;4;Ветер, дующий с северо-запада;Снег и/или другие виды твердых осадков
30.12.2011 10:00;1,8;Ветер, дующий с запада;Снег и/или другие виды твердых осадков
30.12.2011 7:00;3,3;Ветер, дующий с западо-юго-запада;Снег и/или другие виды твердых осадков
30.12.2011 4:00;3,9;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
30.12.2011 1:00;3,6;Ветер, дующий с юго-юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 22:00;5,1;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 19:00;5,7;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 16:00;6,5;Ветер, дующий с западо-юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 13:00;5,1;Ветер, дующий с западо-юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 10:00;5,6;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 7:00;5,1;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 4:00;6;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
29.12.2011 1:00;6;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
28.12.2011 22:00;5,2;Ветер, дующий с юго-запада;Снег и/или другие виды твердых осадков
28.12.2011 19:00;5,6;Ветер, дующий с юго-юго-запада;Снег и/или другие виды твердых осадков
28.12.2011 16:00;6,7;Ветер, дующий с юго-юго-запада;Снег и/или другие виды твердых осадков
