13.07.2019 11:00;23.мар;Ветер, дующий с севера;4;Снег и/или другие виды твердых осадков
13.07.2019 10:00;21.июн;Ветер, дующий с северо-северо-запада;4;Снег и/или другие виды твердых осадков
13.07.2019 9:00;18.сен;Ветер, дующий с северо-запада;4;Снег и/или другие виды твердых осадков
13.07.2019 8:00;17.май;Ветер, дующий с северо-запада;3;Снег и/или другие виды твердых осадков
13.07.2019 7:00;16.май;Ветер, дующий с северо-запада;2;Снег и/или другие виды твердых осадков
13.07.2019 6:00;16.янв;Ветер, дующий с северо-северо-запада;2;Снег и/или другие виды твердых осадков
13.07.2019 5:00;15.сен;Ветер, дующий с северо-запада;1;Снег и/или другие виды твердых осадков
13.07.2019 4:00;16.фев;Штиль, безветрие;0;Снег и/или другие виды твердых осадков
13.07.2019 3:00;15.сен;Штиль, безветрие;0;Снег и/или другие виды твердых осадков
13.07.2019 2:00;16.мар;Штиль, безветрие;0;Снег и/или другие виды твердых осадков
13.07.2019 1:00;16.май;Ветер, дующий с востока;2;Ливень (ливни).
13.07.2019 0:00;17.апр;Ветер, дующий с востока;2;Ливень (ливни).
12.07.2019 23:00;17.июл;Ветер, дующий с востока;1;Снег и/или другие виды твердых осадков
12.07.2019 22:00;17.июл;Ветер, дующий с северо-северо-востока;3;
12.07.2019 21:00;20.0;Ветер, дующий с западо-юго-запада;2;
12.07.2019 20:00;21.янв;Ветер, дующий с севера;1;
12.07.2019 19:00;21.0;Ветер, дующий с северо-северо-запада;2;
12.07.2019 18:00;21.сен;Ветер, дующий с северо-востока;3;
12.07.2019 17:00;21.июл;Ветер, дующий с северо-северо-востока;3;
12.07.2019 16:00;20.апр;Ветер, дующий с северо-востока;3;
12.07.2019 15:00;19.авг;Ветер, дующий с северо-северо-востока;4;
12.07.2019 14:00;20.апр;Ветер, дующий с западо-северо-запада;3;
12.07.2019 13:00;19.0;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
12.07.2019 12:00;18.авг;Ветер, дующий с западо-северо-запада;3;Снег и/или другие виды твердых осадков
12.07.2019 11:00;18.янв;Ветер, дующий с запада;3;Снег и/или другие виды твердых осадков
12.07.2019 10:00;17.июл;Ветер, дующий с запада;2;
12.07.2019 9:00;17.мар;Ветер, дующий с западо-юго-запада;1;Дождь со снегом или другими видами твердых осадков
12.07.2019 8:00;16.сен;Ветер, дующий с северо-запада;1;Дождь со снегом или другими видами твердых осадков
12.07.2019 7:00;16.июн;Ветер, дующий с северо-запада;1;
12.07.2019 6:00;16.июн;Ветер, дующий с запада;2;
12.07.2019 5:00;16.апр;Ветер, дующий с северо-запада;2;
12.07.2019 4:00;17.июн;Ветер, дующий с западо-северо-запада;3;
12.07.2019 3:00;18.май;Ветер, дующий с западо-юго-запада;2;Снег и/или другие виды твердых осадков
12.07.2019 2:00;18.апр;Штиль, безветрие;0;Снег и/или другие виды твердых осадков
12.07.2019 1:00;18.июл;Ветер, дующий с юго-запада;1;Снег и/или другие виды твердых осадков
12.07.2019 0:00;19.фев;Ветер, дующий с западо-юго-запада;1;Снег и/или другие виды твердых осадков
11.07.2019 23:00;20.апр;Ветер, дующий с запада;3;Снег и/или другие виды твердых осадков
11.07.2019 22:00;21.фев;Ветер, дующий с запада;2;Снег и/или другие виды твердых осадков
11.07.2019 21:00;21.авг;Ветер, дующий с запада;3;Снег и/или другие виды твердых осадков
11.07.2019 20:00;22.июл;Ветер, дующий с западо-юго-запада;4;
11.07.2019 19:00;23.фев;Ветер, дующий с запада;1;
11.07.2019 18:00;23.май;Ветер, дующий с западо-юго-запада;3;
11.07.2019 17:00;23.июн;Ветер, дующий с юго-юго-запада;2;Снег и/или другие виды твердых осадков
11.07.2019 16:00;23.авг;Ветер, дующий с юго-юго-востока;2;Снег и/или другие виды твердых осадков
11.07.2019 15:00;23.янв;Ветер, дующий с востока;1;
11.07.2019 14:00;23.янв;Ветер, дующий с юга;2;
11.07.2019 13:00;21.июл;Ветер, дующий с северо-северо-запада;2;Снег и/или другие виды твердых осадков
11.07.2019 12:00;22.май;Ветер, дующий с запада;2;Снег и/или другие виды твердых осадков
11.07.2019 11:00;21.0;Ветер, дующий с юго-запада;1;Снег и/или другие виды твердых осадков
11.07.2019 10:00;19.мар;Ветер, дующий с севера;2;Облака покрывали более половины неба в течение всего соответствующего периода.
11.07.2019 9:00;17.сен;Ветер, дующий с севера;1;
11.07.2019 8:00;15.сен;Ветер, дующий с севера;1;
11.07.2019 7:00;14.апр;Ветер, дующий с северо-запада;1;
11.07.2019 6:00;11.апр;Ветер, дующий с западо-северо-запада;2;
11.07.2019 5:00;10.сен;Ветер, дующий с западо-северо-запада;1;
11.07.2019 4:00;11.мар;Ветер, дующий с запада;1;
11.07.2019 3:00;12.май;Ветер, дующий с запада;1;
11.07.2019 2:00;13.фев;Штиль, безветрие;0;
11.07.2019 1:00;14.янв;Ветер, дующий с северо-запада;2;Облака покрывали более половины неба в течение всего соответствующего периода.
11.07.2019 0:00;15.мар;Ветер, дующий с северо-северо-запада;3;Облака покрывали более половины неба в течение всего соответствующего периода.
10.07.2019 23:00;17.янв;Ветер, дующий с северо-запада;4;Снег и/или другие виды твердых осадков
10.07.2019 22:00;16.сен;Ветер, дующий с северо-запада;3;Снег и/или другие виды твердых осадков
10.07.2019 21:00;20.июн;Ветер, дующий с западо-северо-запада;5;Снег и/или другие виды твердых осадков
10.07.2019 20:00;22.0;Ветер, дующий с северо-запада;5;
10.07.2019 19:00;22.мар;Ветер, дующий с северо-северо-запада;6;Снег и/или другие виды твердых осадков
10.07.2019 18:00;22.фев;Ветер, дующий с северо-запада;7;Снег и/или другие виды твердых осадков
10.07.2019 17:00;22.0;Ветер, дующий с западо-северо-запада;6;Снег и/или другие виды твердых осадков
10.07.2019 16:00;20.авг;Ветер, дующий с северо-запада;6;Снег и/или другие виды твердых осадков
10.07.2019 15:00;20.июн;Ветер, дующий с западо-северо-запада;7;
10.07.2019 14:00;19.янв;Ветер, дующий с западо-северо-запада;5;
10.07.2019 13:00;17.май;Ветер, дующий с северо-запада;5;Морось.
10.07.2019 12:00;16.сен;Ветер, дующий с северо-запада;4;Морось.
10.07.2019 11:00;16.авг;Ветер, дующий с западо-северо-запада;7;Снег и/или другие виды твердых осадков
10.07.2019 10:00;14.сен;Ветер, дующий с запада;5;Снег и/или другие виды твердых осадков
10.07.2019 9:00;13.июл;Ветер, дующий с западо-северо-запада;5;Снег и/или другие виды твердых осадков
10.07.2019 8:00;12.мар;Ветер, дующий с западо-северо-запада;6;Снег и/или другие виды твердых осадков
10.07.2019 7:00;11.мар;Ветер, дующий с западо-северо-запада;5;Снег и/или другие виды твердых осадков
10.07.2019 6:00;10.сен;Ветер, дующий с запада;4;Снег и/или другие виды твердых осадков
10.07.2019 5:00;10.июн;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
10.07.2019 4:00;11.мар;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
10.07.2019 3:00;11.июн;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
10.07.2019 2:00;12.июл;Ветер, дующий с западо-северо-запада;4;
10.07.2019 1:00;13.мар;Ветер, дующий с западо-северо-запада;3;Снег и/или другие виды твердых осадков
10.07.2019 0:00;13.сен;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
09.07.2019 23:00;14.май;Ветер, дующий с запада;3;Снег и/или другие виды твердых осадков
09.07.2019 22:00;15.апр;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
09.07.2019 21:00;16.апр;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
09.07.2019 20:00;17.апр;Ветер, дующий с западо-северо-запада;4;Снег и/или другие виды твердых осадков
09.07.2019 19:00;17.авг;Ветер, дующий с северо-запада;4;
09.07.2019 18:00;17.фев;Ветер, дующий с западо-северо-запада;5;
09.07.2019 17:00;17.0;Ветер, дующий с северо-запада;6;
09.07.2019 16:00;18.мар;Ветер, дующий с западо-северо-запада;5;
09.07.2019 15:00;17.май;Ветер, дующий с западо-северо-запада;6;
